"Dimension","Mapped","Total","Validation_Coverage","Algorithm","Scenario","Fold"
6,80,80,1,"Topolow","dim10_L_missing",12
6,80,80,1,"Topolow","dim10_L_missing",13
6,80,80,1,"Topolow","dim10_L_missing",14
6,80,80,1,"Topolow","dim10_L_missing",15
6,80,80,1,"Topolow","dim10_L_missing",16
6,80,80,1,"Topolow","dim10_L_missing",17
6,80,80,1,"Topolow","dim10_L_missing",18
6,80,80,1,"Topolow","dim10_L_missing",19
6,80,80,1,"Topolow","dim10_L_missing",20
25,80,80,1,"Topolow","dim10_S_noise1",1
25,80,80,1,"Topolow","dim10_S_noise1",2
25,80,80,1,"Topolow","dim10_S_noise1",3
25,80,80,1,"Topolow","dim10_S_noise1",4
25,80,80,1,"Topolow","dim10_S_noise1",5
25,80,80,1,"Topolow","dim10_S_noise1",6
25,80,80,1,"Topolow","dim10_S_noise1",7
25,80,80,1,"Topolow","dim10_S_noise1",8
25,80,80,1,"Topolow","dim10_S_noise1",9
25,80,80,1,"Topolow","dim10_S_noise1",10
25,80,80,1,"Topolow","dim10_S_noise1",11
25,80,80,1,"Topolow","dim10_S_noise1",12
25,80,80,1,"Topolow","dim10_S_noise1",13
25,80,80,1,"Topolow","dim10_S_noise1",14
25,80,80,1,"Topolow","dim10_S_noise1",15
25,80,80,1,"Topolow","dim10_S_noise1",16
25,80,80,1,"Topolow","dim10_S_noise1",17
25,80,80,1,"Topolow","dim10_S_noise1",18
25,80,80,1,"Topolow","dim10_S_noise1",19
25,80,80,1,"Topolow","dim10_S_noise1",20
8,80,80,1,"Topolow","dim10_M_noise1",1
8,80,80,1,"Topolow","dim10_M_noise1",2
8,80,80,1,"Topolow","dim10_M_noise1",3
8,80,80,1,"Topolow","dim10_M_noise1",4
8,80,80,1,"Topolow","dim10_M_noise1",5
8,80,80,1,"Topolow","dim10_M_noise1",6
8,80,80,1,"Topolow","dim10_M_noise1",7
8,80,80,1,"Topolow","dim10_M_noise1",8
8,80,80,1,"Topolow","dim10_M_noise1",9
8,80,80,1,"Topolow","dim10_M_noise1",10
8,80,80,1,"Topolow","dim10_M_noise1",11
8,80,80,1,"Topolow","dim10_M_noise1",12
8,80,80,1,"Topolow","dim10_M_noise1",13
8,80,80,1,"Topolow","dim10_M_noise1",14
8,80,80,1,"Topolow","dim10_M_noise1",15
8,80,80,1,"Topolow","dim10_M_noise1",16
8,80,80,1,"Topolow","dim10_M_noise1",17
8,80,80,1,"Topolow","dim10_M_noise1",18
8,80,80,1,"Topolow","dim10_M_noise1",19
8,80,80,1,"Topolow","dim10_M_noise1",20
4,80,80,1,"Topolow","dim10_L_noise1",1
4,80,80,1,"Topolow","dim10_L_noise1",2
4,80,80,1,"Topolow","dim10_L_noise1",3
4,80,80,1,"Topolow","dim10_L_noise1",4
4,80,80,1,"Topolow","dim10_L_noise1",5
4,80,80,1,"Topolow","dim10_L_noise1",6
4,80,80,1,"Topolow","dim10_L_noise1",7
4,80,80,1,"Topolow","dim10_L_noise1",8
4,80,80,1,"Topolow","dim10_L_noise1",9
4,80,80,1,"Topolow","dim10_L_noise1",10
4,80,80,1,"Topolow","dim10_L_noise1",11
4,80,80,1,"Topolow","dim10_L_noise1",12
4,80,80,1,"Topolow","dim10_L_noise1",13
4,80,80,1,"Topolow","dim10_L_noise1",14
4,80,80,1,"Topolow","dim10_L_noise1",15
4,80,80,1,"Topolow","dim10_L_noise1",16
4,80,80,1,"Topolow","dim10_L_noise1",17
4,80,80,1,"Topolow","dim10_L_noise1",18
4,80,80,1,"Topolow","dim10_L_noise1",19
4,80,80,1,"Topolow","dim10_L_noise1",20
13,80,80,1,"Topolow","dim10_S_noise_bias",1
13,80,80,1,"Topolow","dim10_S_noise_bias",2
13,80,80,1,"Topolow","dim10_S_noise_bias",3
13,80,80,1,"Topolow","dim10_S_noise_bias",4
13,80,80,1,"Topolow","dim10_S_noise_bias",5
13,80,80,1,"Topolow","dim10_S_noise_bias",6
13,80,80,1,"Topolow","dim10_S_noise_bias",7
13,80,80,1,"Topolow","dim10_S_noise_bias",8
13,80,80,1,"Topolow","dim10_S_noise_bias",9
13,80,80,1,"Topolow","dim10_S_noise_bias",10
13,80,80,1,"Topolow","dim10_S_noise_bias",11
13,80,80,1,"Topolow","dim10_S_noise_bias",12
13,80,80,1,"Topolow","dim10_S_noise_bias",13
13,80,80,1,"Topolow","dim10_S_noise_bias",14
13,80,80,1,"Topolow","dim10_S_noise_bias",15
13,80,80,1,"Topolow","dim10_S_noise_bias",16
13,80,80,1,"Topolow","dim10_S_noise_bias",17
13,80,80,1,"Topolow","dim10_S_noise_bias",18
13,80,80,1,"Topolow","dim10_S_noise_bias",19
13,80,80,1,"Topolow","dim10_S_noise_bias",20
6,80,80,1,"Topolow","dim10_M_noise_bias",1
6,80,80,1,"Topolow","dim10_M_noise_bias",2
6,80,80,1,"Topolow","dim10_M_noise_bias",3
6,80,80,1,"Topolow","dim10_M_noise_bias",4
6,80,80,1,"Topolow","dim10_M_noise_bias",5
6,80,80,1,"Topolow","dim10_M_noise_bias",6
6,80,80,1,"Topolow","dim10_M_noise_bias",7
6,80,80,1,"Topolow","dim10_M_noise_bias",8
6,80,80,1,"Topolow","dim10_M_noise_bias",9
6,80,80,1,"Topolow","dim10_M_noise_bias",10
6,80,80,1,"Topolow","dim10_M_noise_bias",11
6,80,80,1,"Topolow","dim10_M_noise_bias",12
6,80,80,1,"Topolow","dim10_M_noise_bias",13
6,80,80,1,"Topolow","dim10_M_noise_bias",14
6,80,80,1,"Topolow","dim10_M_noise_bias",15
6,80,80,1,"Topolow","dim10_M_noise_bias",16
6,80,80,1,"Topolow","dim10_M_noise_bias",17
6,80,80,1,"Topolow","dim10_M_noise_bias",18
6,80,80,1,"Topolow","dim10_M_noise_bias",19
6,80,80,1,"Topolow","dim10_M_noise_bias",20
4,80,80,1,"Topolow","dim10_L_noise_bias",1
4,80,80,1,"Topolow","dim10_L_noise_bias",2
4,80,80,1,"Topolow","dim10_L_noise_bias",3
4,80,80,1,"Topolow","dim10_L_noise_bias",4
4,80,80,1,"Topolow","dim10_L_noise_bias",5
