log_N,log_k0,log_cooling_rate,log_c_repulsion,Holdout_MAE,NLL
2.217252028,2.620699623,-3.175032618,-3.157517098,0.563171914,1620.27846
2.050271553,2.549630889,-3.840559574,-2.722434996,0.593586471,1699.955037
1.659834435,2.141643083,-4.093906851,-2.944370293,0.585189913,1688.542039
1.962941698,2.660466043,-2.971282178,-3.610752405,0.598148714,1715.781556
2.193763487,2.329952815,-3.577221898,-3.209463453,0.562453439,1635.195476
2.193049969,2.434920889,-3.707819975,-3.111146352,0.571129549,1640.595536
2.247831788,2.418349444,-3.70948457,-3.062619638,0.56871355,1649.13119
2.078598255,2.457195267,-3.521067743,-3.04765442,0.566221488,1629.222598
1.969887572,2.457345214,-2.899777828,-2.945293694,0.5674406,1627.832924
1.344098378,2.00529909,-3.909549836,-3.139493233,0.597290248,1718.403013
2.089102878,2.27421118,-3.913153323,-3.122018547,0.563624733,1616.963135
2.344862363,2.544876038,-3.47663092,-2.759838057,0.578857114,1669.227659
1.791572947,2.357748099,-4.373205678,-3.189775252,0.582031978,1670.280074
2.152895533,2.488557957,-4.299410183,-3.170000794,0.566289,1632.768844
1.978501494,2.60444953,-3.095287311,-2.811912197,0.574127311,1657.281909
1.485402871,2.447832023,-2.882679626,-3.109767239,0.598052606,1729.696602
2.114973656,2.497077106,-3.265692154,-2.712154914,0.566591351,1640.294067
1.830137547,2.10475492,-4.890337351,-3.072368644,0.569740737,1642.723021
1.841758123,2.302082421,-3.766456441,-2.84661335,0.561598043,1613.993777
2.300751882,2.726094292,-4.342788229,-2.902952726,0.560575636,1625.845519
1.399495203,2.392869531,-4.110511333,-3.021936295,0.597742502,1697.114828
2.102218054,1.911601031,-3.734059386,-3.191850328,0.574518845,1666.246983
2.15645054,2.257955938,-3.725505858,-2.903394312,0.565343393,1626.973748
2.341843028,2.788937816,-3.449884625,-2.803903886,0.572275573,1657.11832
2.164159175,2.724410015,-3.419801473,-3.400303893,0.591134864,1697.452073
2.157785173,2.666058786,-3.385516074,-2.934418613,0.55610968,1604.218291
2.311403072,2.302340278,-3.766211845,-2.784024783,0.540450405,1554.180068
2.465025318,2.707804548,-4.850350363,-2.820504166,0.604127946,1750.469881
2.296404294,2.122207445,-4.368271498,-2.987369537,0.55844992,1611.417985
2.282594804,2.344755073,-4.062522671,-3.270214813,0.579186766,1663.174496
2.198454119,2.060581386,-3.876483728,-3.350976073,0.573655961,1650.398956
1.74748596,2.404106052,-3.929339272,-3.03491217,0.598303877,1724.415378
1.781211384,2.619778305,-3.203159709,-3.479313941,0.576533193,1654.231134
1.689491682,2.764388597,-2.580620257,-3.415154939,0.588427884,1671.010103
1.471648424,2.409417914,-2.471143231,-3.030659026,0.626756868,1803.373327
2.218239872,2.762021353,-4.148992199,-2.969547599,0.601787326,1734.088057
2.094211491,2.683682544,-4.286904078,-3.307269213,0.573178373,1656.009977
1.492716773,2.188803436,-3.437994049,-3.05848083,0.62669217,1772.57529
2.329680784,2.566171555,-4.163817246,-3.395433654,0.564922995,1629.262094
2.010159643,2.32145079,-3.341932919,-2.961742761,0.571506633,1651.754263
2.472509905,2.104464649,-4.295745337,-2.805411475,0.581400362,1684.817335
2.026397056,2.485674621,-2.86783961,-2.965051296,0.571043092,1672.096306
1.949331043,2.564318115,-3.486353716,-2.930564619,0.562423082,1627.292988
2.284123292,2.007797509,-3.571584794,-3.262628922,0.556478424,1608.500498
1.907638947,2.419549832,-3.591155256,-3.111507314,0.560958442,1631.301656
1.561861922,2.610531472,-2.862243083,-3.68908154,0.603337395,1723.597148
1.545011014,2.746857698,-4.005855998,-2.838453887,0.611566002,1757.66983
2.300503458,2.196923564,-2.912592466,-2.837109718,0.58503894,1660.395896
1.750191748,2.707164119,-4.866265837,-3.122629157,0.572563421,1663.530076
2.443069676,2.404436211,-2.794630759,-2.991807963,0.586768091,1692.471469
2.2137482,2.816208991,-4.769399401,-3.41784215,0.571354115,1657.032387
2.130773742,2.626160279,-2.585537849,-2.71379784,0.572892693,1649.603158
2.377389786,2.120022084,-3.868216858,-2.858933001,0.551214404,1603.470516
1.835685986,2.338247246,-4.572508823,-3.330371907,0.579523411,1654.836261
1.514203418,2.499954387,-2.956274776,-2.914472872,0.611256673,1750.925116
2.07915052,2.396841668,-3.251972737,-3.641222687,0.563393593,1644.355094
2.248418588,2.11526824,-2.968346653,-3.240829804,0.588440457,1693.135292
2.456189868,2.190785744,-2.366638695,-3.040342653,0.616524179,1747.712245
2.190582288,2.589061958,-2.450342609,-2.951148467,0.583815112,1674.715555
2.397709509,2.817448163,-3.830573242,-3.476251001,0.563678535,1628.299728
2.384263157,2.702809013,-4.332960864,-2.984840285,0.567316095,1646.66308
1.846518482,2.198282125,-2.595439324,-2.802732873,0.609156591,1736.327533
2.402788723,2.64105162,-4.040657632,-3.570781961,0.57137117,1636.674271
1.825367271,2.65832636,-3.125685731,-3.020523717,0.581012755,1688.44165
2.170420607,2.75499159,-4.200783335,-3.106949883,0.559167062,1618.839314
2.36027944,2.543941133,-3.195098448,-3.335282601,0.565386564,1629.330196
1.247478759,1.700331646,-3.00416727,-3.258388357,0.663860787,1845.621766
1.895054755,2.243529088,-3.541038306,-3.288996396,0.583132733,1679.942605
1.636944972,2.743694735,-4.044729965,-2.891156293,0.589508117,1696.93933
2.03349408,2.529433003,-2.987407381,-3.282846865,0.562873579,1632.932555
1.667492752,2.790873184,-3.630382137,-3.108230101,0.593447613,1714.842996
2.258293755,2.381769016,-2.475845183,-2.966343428,0.57315974,1648.006719
2.366761775,2.108307344,-3.755907716,-3.140099888,0.574949157,1659.364639
2.023886775,2.437924128,-3.144331745,-3.636404727,0.568601693,1644.329519
2.276821408,2.619706019,-3.131560577,-3.547551347,0.563471268,1633.36253
1.758789214,2.688030616,-3.052987198,-3.060392424,0.58047771,1674.447493
2.402318234,2.409147738,-3.107981123,-3.212284405,0.579458778,1677.625157
2.150062388,2.805354494,-3.873327668,-2.78919282,0.574706763,1647.358154
1.582313585,2.33848186,-4.881350393,-2.796667926,0.593674053,1717.744948
1.698621702,1.829632822,-4.496990309,-3.157271638,0.607560759,1730.134237
1.675758937,2.517244169,-3.731910933,-3.509841894,0.553911282,1600.679623
2.432149785,2.561982454,-2.453828057,-2.994016578,0.593416681,1696.026066
2.437759683,2.692791441,-2.52830232,-3.335430858,0.568513669,1638.461859
2.325025253,2.694930192,-4.186803261,-3.087792832,0.558048638,1613.704489
2.019111412,2.478161576,-5.011009127,-3.169841931,0.579480151,1675.384034
2.248219292,2.625388046,-3.999909662,-3.456988407,0.561290391,1618.779571
1.984839286,2.592927018,-3.501523866,-3.624398891,0.568421199,1644.995196
2.2803544,1.852507529,-4.349203136,-2.808921096,0.557494527,1610.042341
1.679419137,2.133433707,-4.049830607,-2.989537235,0.591621656,1685.79808
1.78389242,2.519718531,-4.255383897,-2.817959849,0.564764321,1635.585006
2.285648807,2.326816751,-2.488502786,-3.02652881,0.578087542,1658.129729
2.17814995,2.371074326,-4.112992569,-2.82144723,0.572993623,1656.676541
1.778672647,2.312759934,-3.801731533,-3.634050286,0.595262799,1720.488511
1.969441225,2.695377642,-3.538164536,-3.432731406,0.559562466,1604.292875
1.946865364,2.671702049,-4.05384712,-3.075026581,0.593817976,1699.348868
1.810979758,2.794405834,-3.294740488,-3.300490604,0.565098013,1633.079039
2.20396325,2.672346496,-3.558319772,-3.4472589,0.556103823,1611.947448
1.624037516,2.007174143,-4.307764745,-2.903271445,0.581335429,1682.35238
2.402514853,2.249472472,-3.095933639,-3.367927059,0.56977438,1643.93945
2.256718448,2.655783272,-4.531335957,-3.114745418,0.585216204,1671.246987
1.879222528,2.57935944,-3.83713299,-3.606993117,0.597258491,1712.436729
1.428735647,2.597283961,-4.551048525,-2.911328274,0.591515049,1717.07617
2.283586239,2.514356381,-2.967536743,-2.824017606,0.580718407,1677.350836
2.23290695,2.637448007,-3.3868824,-3.391487802,0.571442757,1653.858521
1.501711774,2.281777063,-4.497356563,-2.953323786,0.612200191,1745.959201
1.718540399,2.47930694,-5.038306516,-3.494208685,0.588923612,1700.148732
2.323404456,2.122171585,-2.440112654,-3.218539561,0.586519428,1695.331829
2.116682187,2.429492545,-4.490768877,-3.642330163,0.561608404,1612.904257
2.430527683,2.533981489,-2.735402922,-3.184537421,0.585904572,1697.274037
2.118484321,2.367267485,-3.874412604,-3.272738027,0.57069215,1641.750644
1.69908984,2.692740688,-3.104883107,-3.60450446,0.589864801,1715.299905
2.352168892,2.015894557,-3.860229427,-3.088414653,0.560021305,1624.402057
2.405266897,2.466740313,-3.144748725,-3.43034686,0.559363546,1619.350845
1.664778982,2.370015277,-3.103005744,-3.205291268,0.593092929,1709.284777
2.473288124,2.282600149,-2.904838254,-3.375905009,0.572567749,1627.204414
1.873643415,2.687040349,-3.685093563,-2.916975985,0.558478379,1622.598005
2.21736763,1.871326828,-2.491999767,-3.359527499,0.603342109,1734.299372
2.3174815,2.395808462,-2.688399712,-2.987146427,0.575995804,1647.173356
2.312436257,2.676799262,-2.522864896,-3.488373713,0.571969659,1651.799747
2.367970065,2.209721026,-2.679023605,-2.956714181,0.590216995,1703.353834
1.729853404,2.312792541,-3.388777419,-2.777919921,0.587225219,1687.803674
2.077342297,2.155544825,-3.327997349,-3.063509881,0.577902101,1669.113124
1.886893114,2.559051111,-3.426984912,-3.090076682,0.581627751,1696.902025
2.263573479,2.662649765,-2.982424879,-3.451957902,0.56580017,1630.391282
1.906517734,2.754253365,-2.784068696,-3.546139689,0.582617643,1675.19716
1.422558164,2.07878173,-3.810708492,-3.400436889,0.591330533,1708.443179
2.061919928,2.359745626,-2.540223602,-3.128387359,0.604191062,1729.216576
2.432490016,2.64570685,-3.035098993,-3.096553232,0.566994913,1619.943073
1.879334867,2.681291287,-3.504295938,-2.869294013,0.550339673,1598.958333
2.164272788,2.398011583,-3.768883101,-2.983565394,0.573514248,1652.314814
2.25560084,2.125966641,-2.499998351,-3.606904459,0.582440587,1665.534578
