name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/Nijmegen/3129/1992,4.386318858,6.719473923,4.013657052,2.449721232,TRUE,FALSE,1992,BE89,red
A/Oklahoma/5/1988,4.856754234,3.251068704,5.593152705,4.19103301,TRUE,FALSE,1988,SI87,blue
A/Oslo/13676/1983,0.298760765,3.19786047,2.576089142,3.251866082,TRUE,FALSE,1983,BK79,green
A/Oslo/21/1997,7.413425468,7.991099529,7.213153919,6.840324754,TRUE,FALSE,1997,WU95,darkgreen
A/Oslo/2352/1993,5.841076527,4.96440491,7.706329213,7.864832882,FALSE,TRUE,1993,BE92,pink
A/Oslo/2352/1993,4.057121426,4.901880663,7.980499861,8.400035281,TRUE,FALSE,1993,BE92,pink
A/Oslo/244/1997,6.885830875,8.421827402,7.264608742,7.739999151,TRUE,FALSE,1997,WU95,darkgreen
A/Oviedo/31/1992,4.707352735,6.081865346,3.453404569,2.711110671,TRUE,FALSE,1992,BE89,red
A/Panama/2007/1999,10.02424786,10.78954237,10.05043701,10.70763436,FALSE,TRUE,1999,SY97,lightblue
A/Panama/2007/1999,9.938565613,9.94410311,9.534394244,10.43405159,TRUE,FALSE,1999,SY97,lightblue
A/Paris/320/1992,5.053854747,7.111816465,3.525822212,2.724979694,TRUE,FALSE,1992,BE89,red
A/Paris/325/1992,4.971701308,7.340881008,3.666465184,2.385909229,TRUE,FALSE,1992,BE89,red
A/Paris/407/1992,4.347679189,7.718647605,2.536867785,3.032115649,TRUE,FALSE,1992,BE89,red
A/Paris/424/1992,4.725645749,8.086871015,3.192042824,3.497374244,TRUE,FALSE,1992,BE89,red
A/Paris/457/1992,4.582636045,7.087925158,2.39457153,1.646393801,TRUE,FALSE,1992,BE89,red
A/Paris/467/1992,4.160302931,6.385162718,3.226174,2.477271514,TRUE,FALSE,1992,BE89,red
A/Paris/490/1992,5.097430331,7.31444487,4.151494852,2.657544054,TRUE,FALSE,1992,BE89,red
A/Paris/512/1992,4.493259851,8.446210517,2.586428107,2.757669236,TRUE,FALSE,1992,BE89,red
A/Paris/548/1992,4.998027036,8.204282748,2.249939067,2.285172646,TRUE,FALSE,1992,BE89,red
A/Paris/564/1992,5.653474852,7.675666045,4.322573773,3.628029323,TRUE,FALSE,1992,BE89,red
A/Paris/583/1992,4.201657696,7.526675622,3.371598747,2.171657831,TRUE,FALSE,1992,BE89,red
A/Paris/597/1992,4.799233415,8.516006896,4.578464136,2.77126602,TRUE,FALSE,1992,BE89,red
A/Paris/614/1992,4.115744211,7.308604144,2.960787089,3.556066498,TRUE,FALSE,1992,BE89,red
A/Philipdarkgreens/2/1982,-0.862506509,2.217038482,3.076879741,3.177614277,FALSE,TRUE,1982,BK79,green
A/Philipdarkgreens/2/1982,0.26326275,0.94406055,4.066382026,4.214749913,TRUE,FALSE,1982,BK79,green
A/PortChalmers/1/1973,-0.104442164,-2.060810211,-1.940473888,-0.912481406,FALSE,TRUE,1973,EN72,darkturquoise
A/PortChalmers/1/1973,0.263612621,-0.795653097,-2.726373278,-1.400231901,TRUE,FALSE,1973,EN72,darkturquoise
A/Rotterdam/577/1980,0.536785253,1.364629907,2.098178815,3.927806134,TRUE,FALSE,1980,BK79,green
A/Rotterdam/577/1980,-1.442857122,1.416745566,3.078054543,5.408364741,FALSE,TRUE,1980,BK79,green
A/Rotterdam/5828/1977,1.50920322,-1.263979457,-0.686780696,-0.154519729,TRUE,FALSE,1977,VI75,darkgoldenrod1
A/Rotterdam/8179/1977,1.414359597,-0.810203087,-0.43183898,0.609771133,TRUE,FALSE,1977,VI75,darkgoldenrod1
A/Sendai/C273/1992,3.297919931,6.11823879,9.430548127,8.068382891,TRUE,FALSE,1992,BE92,pink
A/Seoul/1/1990,5.075445754,3.321447225,1.973211505,3.388473966,TRUE,FALSE,1990,SI87,blue
A/Shandong/9/1993,5.838733062,5.09553767,7.833321134,7.41370408,FALSE,TRUE,1993,BE92,pink
A/Shandong/9/1993,4.841755156,5.716040411,9.233537811,6.168597306,TRUE,FALSE,1993,BE92,pink
A/Shanghai/11/1987,6.949677513,1.946483286,2.653648383,1.933446945,TRUE,FALSE,1987,SI87,blue
A/Shanghai/11/1987,5.567392924,2.035305978,1.573812604,4.234041978,FALSE,TRUE,1987,SI87,blue
A/Shanghai/24/1990,2.802222287,3.775912493,4.666850592,5.395856201,TRUE,FALSE,1990,SI87,blue
A/Shiga/6/1993,4.781249293,5.547958535,9.443031265,8.367587527,TRUE,FALSE,1993,BE92,pink
A/Sichuan/2/1987,5.391639438,2.379538421,1.318433015,5.299343099,TRUE,FALSE,1987,SI87,blue
A/Sichuan/2/1987,6.325563732,2.398064795,2.118619246,3.192778868,FALSE,TRUE,1987,SI87,blue
A/Singapore/1/1996,6.536902613,8.320097372,7.76429911,7.037937149,TRUE,FALSE,1996,WU95,darkgreen
A/Singapore/1/1996,8.236589128,8.823410968,8.122729205,5.46513569,FALSE,TRUE,1996,WU95,darkgreen
A/Singapore/34/1989,4.3762,4.034526169,0.567692382,4.306076133,TRUE,FALSE,1989,SI87,blue
A/Singapore/35/1989,4.904911156,4.354933482,1.456428983,3.25740658,TRUE,FALSE,1989,SI87,blue
